category,text
santé,"Arrêté du ministre de la santé du 12 juillet 2024 portant délégation de signature en matière disciplinaire. Le ministre de la santé Vu la Constitution, Vu la loi n  83-112 du 12 décembre 1983 portant statut général des personnels de l'Etat des collectivités publiques locales et des établissements publics à caractère administratif ensemble les textes qui l'ont modifiée ou complétée Vu le décret n°75-384 du 17 juin 1975 autorisant les ministres et secrétaires d'Etats à déléguer leur signature Vu le décret n 91-1844 du 2 décembre 1991 fixant l'organisation administrative et financière ainsi que les modalités de fonctionnement des établissements publics de santé et le décret n° 93-676 du 29 mars 1993 qui l'a modifié et complété, Vu le décret n° 91-1845 du 2 décembre 1991, fixant le régime de rémunération ainsi que les conditions de nomination des directeurs généraux et des personnels administratifs et techniques nantis d'un emploi fonctionnel au sein des établissements publics de santé, Vu le décret Présidentiel n° 2021-138 du 11 octobre 2021, portant nomination des membres du Gouvernement Vu le décret n° 2023-550 du 1er août 2023 portant nomination du Chef du Gouvernement Vu le n° 2024-203 du 18 avril 2024  chargeant Madame Samia Mnif épouse Marrakchi, professeur hospitalo-universitaire en médecine, des fonctions de directeur général de l'institut Pasteur de Tunis, Vu l'arrêté du 12 août 2016, portant création des commissions administratives paritaires pour le personnel du ministère de la santé. Arrête Article premier - Conformément aux dispositions de l'article 51 de la loi n° 97-83 du 20 décembre 1997 modifiant et complétant la loi n° 83-112 du 12 décembre 1983, portant statut général des personnels de l'Etat, des collectivités locales et des établissements publics à caractère administratif, le ministre de la santé délègue à Madame Samia Mnif épouse Marrakchi, professeur hospitalo-universitaire en médecine, directeur général de l'institut Pasteur de Tunis le droit de signature des rapports de traduction devant le conseil de discipline et des décisions des sanctions disciplinaires à l'exception de la sanction de révocation et ce pour les agents relevant de leurs autorité et n'appartenant pas aux corps médicaux et juxta médicaux ou aux cadres administratifs et techniques nantis d'un emploi fonctionnel. Art. 2  Cette délégation est accordée sous réserve des dispositions de l'arrêté du 12 août 2016 portant création des commissions paritaires administratives pour le personnel de la santé publique. Art. 3  Le présent arrêté sera publié au Journal officiel de la République tunisienne et prend effet à compter du 18 avril 2024. Tunis le 12 juillet 2024. Le ministre de la santé Ali Mrabet"
santé,Par arrêté du ministre de la santé du 9 janvier 2024. Monsieur Ammar Bou Ali est nommé membre représentant de la partie syndicale la plus représentative au conseil d'administration de l'hôpital d'enfants  Bechir Hamza de Tunis en remplacement de Monsieur Faycel Hedhli.
santé,Par arrêté du ministre de la défense nationale du 22 mars 2024. Le commandant pharmacien Wassim Chaâbouni est nommé membre au conseil d'administration de l'hôpital militaire universitaire de Sfax représentant les pharmaciens exerçant au sein de l'hôpital.
santé,Par arrêté du ministre de la santé du 14 décembre 2023. Madame Raouia Lakhal conservateur des bibliothèques ou de documentation est nommée dans le grade de conservateur en chef des bibliothèques ou de documentation du corps des personnels des bibliothèques et de la documentation dans les administrations publiques au ministère de la santé.
santé,Loi organique n 2024-1 du 4 janvier 2024 portant approbation d'un protocole d’accord entre le gouvernement de la République tunisienne et le gouvernement de la République populaire de Chine sur l’envoi des équipes médicales chinoises en Tunisie 2021-2026. Au nom du peuple L’Assemblée des représentants du peuple ayant adopté Le Président de la République promulgue la loi organique dont la teneur suit Article unique  Est approuvé le protocole d’accord entre le gouvernement de la République tunisienne et le gouvernement de la République populaire de Chine sur l’envoi des équipes médicales chinoises en Tunisie 2021- 2026 signé à Tunis le 28 avril 2022 et annexé à la présente loi organique. La présente loi organique sera publiée au Journal officiel de la République tunisienne et exécutée comme loi de l'Etat. Tunis le 4 janvier 2024. Le Président de la République Kaïs Saïed
santé,Par arrêté du ministre de la santé du 4 juin 2024. Monsieur Faouzi Amri est nommé membre représentant du ministère de l’agriculture des ressources hydrauliques et de la pêche maritime au conseil d’établissements de l’office national du thermalisme et de l’hydrothérapie en remplacement de Madame Souad Dkhil.
santé,Par décret n 2024-202 du 18 avril 2024. Madame Chahnaz Ayari épouse Guizani ingénieur général est chargée des fonctions de directeur général de l’Office national du thermalisme et de l’hydrothérapie.
santé,Par arrêté du ministre de la santé du 4 juin 2024. Professeur Fayka Ben Mami professeur hospitalouniversitaire en médecine est nommée président du comité scientifique au conseil d'administration de l'Institut National  Zouhaïer Kallel  de nutrition et de technologie alimentaire de Tunis et ce à compter du 19 avril 2024.
santé,Par arrêté du ministre de la santé du 5 juillet 2024. Docteur Kaouther Nahdi est nommée membre représentant le ministère de la santé au conseil d'administration de l'hôpital Mongi Slim de la Marsa en remplacement du docteur Tarek Ben Nacer le conseil d’administration de l’hôpital Mongi Slim de la Marsa est présidé par docteur Kaouther Nahdi.
santé,Par arrêté du ministre de la santé du 5 juillet 2024. Docteur Tarek Ben Nacer est nommé membre représentant le ministère de la santé au conseil d'administration de l'hôpital la Rabta de Tunis en remplacement de Monsieur Samir Mahdi. Le conseil d’administration de l’hôpital la Rabta de Tunis est présidé par docteur Tarek Ben Nacer.
